Tav,Odonimo,Codvia,,,,
01,Viale Emilia,#REF!,,,,
02,Via Pignatelli Aragona,,,,,
03,Via Delle Croci,,,,,
04,Via Scoto Michele,,,,,
05,Viale Dei Picciotti - A,_OLD,,,,
06,Viale Dei Picciotti - B,,,Via Scoto Michele,47450,357
07,Via Rizzo Ammiraglio - A,,,,,
08,Via Rizzo Ammiraglio - B,,,,,
09,Via Principe Di Belmonte,,,,,
10,Viale Michelangelo,,,,,
11,Viale Regina Margherita,,,,,
12,Viale Galatea,,,,,
13,Viale Principe Umberto,,,,,
14,Via Oreto,,,,,
15,Via Rapisardi Mario,,,,,
16,Via Giusti Giuseppe,,,,,
17,Via Corazza Filippo,,,,,
