Id,Odonimo,ID Pianta,Specie,h (m),Diametro (cm),CPC,tipo_foglia,# Primavera, # Estate,# Autunno,# Inverno
ALB_001,Viale Emilia,001,Ficus microcarpa,12,47,B,sempreverde,13977,14263,13977,13550
ALB_002,Viale Emilia,002,Ficus microcarpa,12,49,B,sempreverde,14756,15057,14756,14304
ALB_003,Viale Emilia,003,Ficus microcarpa,12,42,B,sempreverde,12076,12322,12076,11706
ALB_004,Viale Emilia,004,Ficus microcarpa,12,32,B,sempreverde,8480,8653,8480,8220
ALB_005,Viale Emilia,005,Ficus microcarpa,12,52,B,sempreverde,15941,16266,15941,15453
ALB_006,Viale Emilia,006,Ficus microcarpa,12,34,B,sempreverde,9175,9363,9175,8894
ALB_007,Viale Emilia,007,Ficus microcarpa,12,39,B,sempreverde,10967,11191,10967,10631
ALB_008,Viale Emilia,008,Ficus microcarpa,12,42,B,sempreverde,12076,12322,12076,11706
ALB_009,Viale Emilia,009,Ficus microcarpa,12,42,B,sempreverde,12076,12322,12076,11706
ALB_010,Viale Emilia,010,Ficus microcarpa,12,39,B,sempreverde,10967,11191,10967,10631
ALB_011,Viale Emilia,011,Ficus microcarpa,12,36,B,sempreverde,9883,10085,9883,9581
ALB_012,Viale Emilia,012,Ficus microcarpa,12,48,B,sempreverde,14365,14658,14365,13925
ALB_013,Viale Emilia,013,Ficus microcarpa,12,55,B,sempreverde,17146,17496,17146,16621
ALB_014,Viale Emilia,014,Ficus microcarpa,15,36,B,sempreverde,12081,12328,12081,11711
ALB_015,Viale Emilia,015,Ficus microcarpa,15,42,B,sempreverde,14762,15063,14762,14310
ALB_016,Viale Emilia,016,Ficus microcarpa,15,38,B,sempreverde,12961,13225,12961,12564
ALB_017,Viale Emilia,017,Ficus microcarpa,15,47,B,sempreverde,17086,17435,17086,16563
ALB_018,Viale Emilia,018,Ficus microcarpa,15,32,C,sempreverde,8537,8711,8537,8275
ALB_019,Viale Emilia,019,Ficus microcarpa,12,70,B,sempreverde,23460,23939,23460,22742
ALB_020,Viale Emilia,020,Ficus microcarpa,12,45,B,sempreverde,13209,13479,13209,12805
ALB_021,Viale Emilia,021,Ficus microcarpa,12,62,B,sempreverde,20036,20445,20036,19423
ALB_022,Viale Emilia,022,Ficus microcarpa,12,68,B,sempreverde,22592,23053,22592,21901
ALB_023,Viale Emilia,023,Ficus microcarpa,12,77,B,sempreverde,26554,27096,26554,25742
ALB_024,Viale Emilia,024,Ficus microcarpa,12,42,B,sempreverde,12076,12322,12076,11706
ALB_025,Viale Emilia,025,Ficus microcarpa,12,50,B,sempreverde,15148,15457,15148,14684
ALB_026,Viale Emilia,026,Ficus microcarpa,12,49,B,sempreverde,14756,15057,14756,14304
ALB_027,Viale Emilia,027,Ficus microcarpa,12,38,B,sempreverde,10603,10819,10603,10278
ALB_028,Viale Emilia,028,Ficus microcarpa,12,45,B,sempreverde,13209,13479,13209,12805
ALB_029,Viale Emilia,029,Ficus microcarpa,12,62,B,sempreverde,20036,20445,20036,19423
ALB_030,Viale Emilia,030,Ficus microcarpa,12,79,B,sempreverde,27455,28015,27455,26614
ALB_031,Viale Emilia,031,Ficus microcarpa,12,77,B,sempreverde,26554,27096,26554,25742
ALB_032,Viale Emilia,032,Ficus microcarpa,15,45,B,sempreverde,16147,16477,16147,15653
ALB_033,Viale Emilia,033,Ficus microcarpa,15,42,B,sempreverde,14762,15063,14762,14310
ALB_034,Viale Emilia,034,Ficus microcarpa,15,38,B,sempreverde,12961,13225,12961,12564
ALB_035,Viale Emilia,035,Ficus microcarpa,15,52,C,sempreverde,16047,16375,16047,15556
ALB_036,Viale Emilia,036,Ficus microcarpa,12,48,B,sempreverde,14365,14658,14365,13925
